Id,Title,DemographicType,Type,PublishingStatus,TotalVolumes,MainImageUrl
109,Banana Fish,Shoujo,Manga,Finished,19,https://cdn.myanimelist.net/images/manga/5/265185l.jpg
110,Mugen no Juunin,Seinen,Manga,Finished,30,https://cdn.myanimelist.net/images/manga/1/279869l.jpg
111,Hinamatsuri,Seinen,Manga,Finished,19,https://cdn.myanimelist.net/images/manga/3/285804l.jpg
112,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,Shounen,Manga,Finished,17,https://cdn.myanimelist.net/images/manga/1/269912l.jpg
113,Dandadan,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/248746l.jpg
114,Mahoutsukai no Yome,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/121263l.jpg
115,Love So Life,Shoujo,Manga,Finished,17,https://cdn.myanimelist.net/images/manga/2/269699l.jpg
116,Detective Conan,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/97267l.jpg
117,Hoshi no Samidare,Seinen,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/3/56421l.jpg
118,"Komi-san wa, Comyushou desu.",Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/188962l.jpg
119,Hirunaka no Ryuusei,Shoujo,Manga,Finished,12,https://cdn.myanimelist.net/images/manga/5/261725l.jpg
120,Taiyou no Ie,Shoujo,Manga,Finished,13,https://cdn.myanimelist.net/images/manga/2/149086l.jpg
121,Mairimashita! Iruma-kun,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/198066l.jpg
122,Angel Densetsu,Shounen,Manga,Finished,15,https://cdn.myanimelist.net/images/manga/2/164490l.jpg
123,Billy Bat,Seinen,Manga,Finished,20,https://cdn.myanimelist.net/images/manga/3/181197l.jpg
124,Ao Haru Ride,Shoujo,Manga,Finished,13,https://cdn.myanimelist.net/images/manga/2/256907l.jpg
125,Vanitas no Karte,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/176009l.jpg
126,Last Game,Shoujo,Manga,Finished,11,https://cdn.myanimelist.net/images/manga/3/258207l.jpg
127,Chihayafuru,Josei,Manga,Finished,50,https://cdn.myanimelist.net/images/manga/1/245072l.jpg
128,Gakuen Alice,Shoujo,Manga,Finished,31,https://cdn.myanimelist.net/images/manga/2/269701l.jpg
129,Kono Oto Tomare!,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/116653l.jpg
130,JoJo no Kimyou na Bouken Part 2: Sentou Chouryuu,Shounen,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/2/269908l.jpg
131,Beelzebub,Shounen,Manga,Finished,28,https://cdn.myanimelist.net/images/manga/3/188942l.jpg
132,Paradise Kiss,Josei,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/1/262323l.jpg
133,Kishuku Gakkou no Juliet,Shounen,Manga,Finished,16,https://cdn.myanimelist.net/images/manga/3/188967l.jpg
134,Katekyo Hitman Reborn!,Shounen,Manga,Finished,42,https://cdn.myanimelist.net/images/manga/2/253085l.jpg
135,Hana to Akuma,Shoujo,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/3/262244l.jpg
136,Yuu☆Yuu☆Hakusho,Shounen,Manga,Finished,19,https://cdn.myanimelist.net/images/manga/3/250027l.jpg
137,Boku no Hero Academia,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/209370l.jpg
138,Gantz,Seinen,Manga,Finished,37,https://cdn.myanimelist.net/images/manga/1/278020l.jpg
139,Tonikaku Kawaii,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/209955l.jpg
140,Ookami to Koushinryou,Seinen,Manga,Finished,16,https://cdn.myanimelist.net/images/manga/3/153861l.jpg
141,Natsume Yuujinchou,Shoujo,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/260099l.jpg
142,Naruto,Shounen,Manga,Finished,72,https://cdn.myanimelist.net/images/manga/3/249658l.jpg
143,One Outs,Seinen,Manga,Finished,20,https://cdn.myanimelist.net/images/manga/3/169329l.jpg
144,Mushoku Tensei: Isekai Ittara Honki Dasu,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/181049l.jpg
145,Totsukuni no Shoujo,Shounen,Manga,Finished,11,https://cdn.myanimelist.net/images/manga/1/173926l.jpg
146,Tsurezure Children,Shounen,Manga,Finished,12,https://cdn.myanimelist.net/images/manga/1/155605l.jpg
